Year,City,City_ID,Population,Housing_Price_Index,AfterTax_Income_2020,Total_Income_2020,Vacancy_2024,Vacancy_2025,Turnover_2024,Turnover_2025,Rent_2024,Rent_2025,RentGrowth_2024,RentGrowth_2025,Population_Growth,HPI_Growth,Rent_scaled,HPI_scaled,Pop_scaled,Vacancy_scaled,Housing_Pressure_Score
2025,Ottawa-Gatineau CMA,2021S050535505,1325788,162.16666666666666,84000,98000,2.6,3.0,14.5,15.4,1880.0,1926.0,5.0,3.4,2.6730231895371492,-1.4833189895205767,0.5703048180924286,0.8391599752933911,0.43596570541605434,0.04761904761904745,0.4494528627957067
2021,Toronto CMA,2021S0503535,6472951,110.41666666666667,85000,97000,2.5,3.0,6.4,8.7,1974.0,2046.0,2.7,3.4,,,0.688298918387414,0.07201976528721454,,0.04761904761904745,
2022,Toronto CMA,2021S0503535,6591642,115.40833333333332,85000,97000,2.5,3.0,6.4,8.7,1974.0,2046.0,2.7,3.4,1.8336458904138153,4.5207547169811235,0.688298918387414,0.14601605929586148,0.29977551749873493,0.04761904761904745,0.2716178618907407
2023,Toronto CMA,2021S0503535,6840723,115.05833333333334,85000,97000,2.5,3.0,6.4,8.7,1974.0,2046.0,2.7,3.4,3.7787398041337905,-0.30327099429560134,0.688298918387414,0.14082767140210017,0.6153698347420395,0.04761904761904745,0.34921934422812656
2024,Toronto CMA,2021S0503535,7109866,114.2,85000,97000,2.5,3.0,6.4,8.7,1974.0,2046.0,2.7,3.4,3.9344233058406175,-0.7459984066053416,0.688298918387414,0.12810376775787535,0.6406297093839004,0.04761904761904745,0.35235333697753557
2025,Toronto CMA,2021S0503535,7108874,111.04166666666667,85000,97000,2.5,3.0,6.4,8.7,1974.0,2046.0,2.7,3.4,-0.013952442985565305,-2.7656158785756,0.688298918387414,0.08128474366893168,0.0,0.04761904761904745,0.18049115360932455
2021,Vancouver CMA,2021S0503933,2771430,120.71666666666665,79500,90000,1.6,3.7,9.1,11.6,2314.0,2363.0,5.5,2.2,,,0.9999999999999998,0.22470660901791217,,0.38095238095238093,
2022,Vancouver CMA,2021S0503933,2855205,128.525,79500,90000,1.6,3.7,9.1,11.6,2314.0,2363.0,5.5,2.2,3.022807720202203,6.468314234433259,0.9999999999999998,0.34045707226683164,0.4927187543865215,0.38095238095238093,0.363055861425243
2023,Vancouver CMA,2021S0503933,2970008,128.23333333333332,79500,90000,1.6,3.7,9.1,11.6,2314.0,2363.0,5.5,2.2,4.020832129391749,-0.22693380016859388,0.9999999999999998,0.3361334156886966,0.6546496667134993,0.38095238095238093,0.4024576753624537
2024,Vancouver CMA,2021S0503933,3081713,128.48333333333332,79500,90000,1.6,3.7,9.1,11.6,2314.0,2363.0,5.5,2.2,3.7611009801993722,0.1949571094359337,0.9999999999999998,0.3398394070413835,0.6125079098975413,0.38095238095238093,0.3928487339966359
2025,Vancouver CMA,2021S0503933,3088036,126.74166666666667,79500,90000,1.6,3.7,9.1,11.6,2314.0,2363.0,5.5,2.2,0.20517809413140853,-1.3555584381891084,0.9999999999999998,0.31402100061766536,0.03555424844054397,0.38095238095238093,0.24215571702645705
