"REF_DATE","GEO","DGUID","New housing price indexes","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2011-01","Montréal, Quebec","2011S0503462","Total (house and land)","Index, 201612=100","347","units","0","v111955484","15.1","94.7","","","","1"
"2011-02","Montréal, Quebec","2011S0503462","Total (house and land)","Index, 201612=100","347","units","0","v111955484","15.1","95.0","","","","1"
"2011-03","Montréal, Quebec","2011S0503462","Total (house and land)","Index, 201612=100","347","units","0","v111955484","15.1","95.1","","","","1"
"2011-04","Montréal, Quebec","2011S0503462","Total (house and land)","Index, 201612=100","347","units","0","v111955484","15.1","95.4","","","","1"
"2011-05","Montréal, Quebec","2011S0503462","Total (house and land)","Index, 201612=100","347","units","0","v111955484","15.1","95.9","","","","1"
"2011-06","Montréal, Quebec","2011S0503462","Total (house and land)","Index, 201612=100","347","units","0","v111955484","15.1","95.8","","","","1"
"2011-07","Montréal, Quebec","2011S0503462","Total (house and land)","Index, 201612=100","347","units","0","v111955484","15.1","95.7","","","","1"
"2011-08","Montréal, Quebec","2011S0503462","Total (house and land)","Index, 201612=100","347","units","0","v111955484","15.1","95.9","","","","1"
"2011-09","Montréal, Quebec","2011S0503462","Total (house and land)","Index, 201612=100","347","units","0","v111955484","15.1","95.9","","","","1"
"2011-10","Montréal, Quebec","2011S0503462","Total (house and land)","Index, 201612=100","347","units","0","v111955484","15.1","95.9","","","","1"
"2011-11","Montréal, Quebec","2011S0503462","Total (house and land)","Index, 201612=100","347","units","0","v111955484","15.1","96.3","","","","1"
"2011-12","Montréal, Quebec","2011S0503462","Total (house and land)","Index, 201612=100","347","units","0","v111955484","15.1","96.5","","","","1"
"2012-01","Montréal, Quebec","2011S0503462","Total (house and land)","Index, 201612=100","347","units","0","v111955484","15.1","96.5","","","","1"
"2012-02","Montréal, Quebec","2011S0503462","Total (house and land)","Index, 201612=100","347","units","0","v111955484","15.1","96.6","","","","1"
"2012-03","Montréal, Quebec","2011S0503462","Total (house and land)","Index, 201612=100","347","units","0","v111955484","15.1","96.7","","","","1"
"2012-04","Montréal, Quebec","2011S0503462","Total (house and land)","Index, 201612=100","347","units","0","v111955484","15.1","96.7","","","","1"
"2012-05","Montréal, Quebec","2011S0503462","Total (house and land)","Index, 201612=100","347","units","0","v111955484","15.1","96.8","","","","1"
"2012-06","Montréal, Quebec","2011S0503462","Total (house and land)","Index, 201612=100","347","units","0","v111955484","15.1","96.9","","","","1"
"2012-07","Montréal, Quebec","2011S0503462","Total (house and land)","Index, 201612=100","347","units","0","v111955484","15.1","97.0","","","","1"
"2012-08","Montréal, Quebec","2011S0503462","Total (house and land)","Index, 201612=100","347","units","0","v111955484","15.1","97.0","","","","1"
"2012-09","Montréal, Quebec","2011S0503462","Total (house and land)","Index, 201612=100","347","units","0","v111955484","15.1","97.0","","","","1"
"2012-10","Montréal, Quebec","2011S0503462","Total (house and land)","Index, 201612=100","347","units","0","v111955484","15.1","97.4","","","","1"
"2012-11","Montréal, Quebec","2011S0503462","Total (house and land)","Index, 201612=100","347","units","0","v111955484","15.1","97.6","","","","1"
"2012-12","Montréal, Quebec","2011S0503462","Total (house and land)","Index, 201612=100","347","units","0","v111955484","15.1","97.6","","","","1"
"2013-01","Montréal, Quebec","2011S0503462","Total (house and land)","Index, 201612=100","347","units","0","v111955484","15.1","97.6","","","","1"
"2013-02","Montréal, Quebec","2011S0503462","Total (house and land)","Index, 201612=100","347","units","0","v111955484","15.1","97.7","","","","1"
"2013-03","Montréal, Quebec","2011S0503462","Total (house and land)","Index, 201612=100","347","units","0","v111955484","15.1","97.7","","","","1"
"2013-04","Montréal, Quebec","2011S0503462","Total (house and land)","Index, 201612=100","347","units","0","v111955484","15.1","97.6","","","","1"
